iteration,loss,layer1_filters,layer1_kernel,layer2_filters,layer2_kernel,layer3_filters,layer3_kernel,layer4_filters,layer4_kernel,auc_val,acc_val,acc_gamma_val,acc_proton_val,loss_val,run_time
1,0.20085603,30,6,93,2,67,6,342,8,0.79914397,0.7113029,0.7845174,0.63854355,1.1319096,4014.0747676349706
2,0.2079637,48,10,118,3,155,7,409,8,0.7920363,0.7025056,0.6632038,0.7415631,1.2721993,3993.436121747829
3,0.21106654,37,6,112,7,121,2,485,7,0.78893346,0.70094657,0.6936997,0.7081483,1.2269651,3998.247948547127
4,0.19387540000000006,41,7,80,8,24,7,21,7,0.8061246,0.70929843,0.61494637,0.8030639,1.0735567,4046.6686776811257
5,0.18893194,47,9,18,4,192,5,204,5,0.81106806,0.7182628,0.808311,0.6287744,1.0596731,4008.148126092041
6,0.19680804,56,9,61,2,108,3,26,7,0.80319196,0.717706,0.7272118,0.70825934,1.0662742,4001.807409684872
7,0.19792820000000003,61,8,25,9,72,2,19,10,0.8020718,0.71302897,0.7791555,0.6473135,1.069922,3994.58872177708
8,0.19462910000000003,18,2,60,3,167,9,394,3,0.8053709,0.7169265,0.7191689,0.714698,1.0751575,3993.702427972807
9,0.19049954,28,8,127,9,134,5,156,6,0.80950046,0.71831846,0.6918007,0.7446714,1.0802842,4003.9887245730492
10,0.19526049999999995,30,2,31,4,57,8,246,4,0.8047395,0.7149221,0.7899911,0.6403197,1.0832412,4012.5226916801184
11,0.2033498,31,8,32,5,169,3,387,7,0.7966502,0.70718265,0.6632038,0.7508881,1.1348611,4023.2785683339457
12,0.19301647,56,8,110,2,106,8,400,3,0.80698353,0.71481067,0.78016084,0.64986676,1.1003896,4043.8056939810053
13,0.200151,28,10,124,6,85,2,292,3,0.799849,0.71197104,0.65326184,0.7703153,1.0880744,4048.351819816977
14,0.19323844,51,8,62,3,77,9,410,5,0.80676156,0.7150891,0.7277703,0.7024867,1.0808853,4020.272887337953
15,0.20291859999999995,27,6,42,5,36,3,347,10,0.7970814,0.7030067,0.6053396,0.8000666,1.1346774,4065.390756253153
16,0.1903537,53,5,20,10,156,9,321,4,0.8096463,0.7212138,0.7556971,0.68694496,1.0625173,4041.067403244786
17,0.2080525,40,3,90,4,232,4,31,9,0.7919475,0.69844097,0.6141644,0.7821936,1.1568481,4070.3971440140162
18,0.2172236,21,4,116,2,177,9,484,7,0.7827764,0.6907572,0.6039991,0.77697605,1.4425948,4052.1065321711358
19,0.19474040000000006,17,4,116,7,146,5,87,6,0.8052596,0.71609133,0.73134494,0.7009325,1.0696598,4056.9494765761774
20,0.1974431,17,8,22,9,141,7,22,7,0.8025569,0.7031737,0.58813673,0.8174956,1.0873096,4035.897378996946
21,0.19847643000000004,46,5,45,10,216,10,188,4,0.80152357,0.7056236,0.6325961,0.77819717,1.1549383,4026.701909180963
22,0.19315046,63,5,16,5,196,6,213,5,0.80684954,0.7201002,0.7464254,0.69393873,1.0661862,4033.474287105957
23,0.19601727,55,5,45,6,254,5,111,2,0.80398273,0.7113029,0.65683645,0.76543075,1.071474,4038.444653423037
24,0.1934948,45,7,19,4,207,4,276,5,0.8065052,0.7175947,0.6942583,0.74078596,1.0670696,4016.83309433586
25,0.20397943,52,4,34,10,251,10,315,4,0.79602057,0.7052339,0.7252011,0.6853908,1.1703918,4036.600752776023
26,0.194824,36,3,53,8,195,4,226,5,0.805176,0.71603566,0.6959339,0.73601246,1.0833925,4047.065743070096
27,0.1936588,60,7,74,7,229,8,155,2,0.8063412,0.71703786,0.7573727,0.6769538,1.0979594,4037.4015767818787
28,0.19103307000000005,49,9,17,5,189,6,447,3,0.80896693,0.72149223,0.7284406,0.71458703,1.0527909,4043.0074426101055
29,0.20031077,45,5,99,4,232,6,347,4,0.79968923,0.7125278,0.6794013,0.74544847,1.1337723,4035.869764433941
30,0.191145,43,9,38,3,159,5,180,6,0.808855,0.7223831,0.7594951,0.68550175,1.0692652,4041.350788431941
31,0.18641070000000004,35,6,26,6,184,7,90,8,0.8135893,0.7242205,0.7536863,0.6949378,1.0548757,3986.580065124202
32,0.1994422,35,10,52,6,183,7,70,9,0.8005578,0.71325165,0.7357015,0.6909414,1.1075214,3981.2465862480462
33,0.19515380000000004,38,7,29,7,122,7,123,8,0.8048462,0.71575725,0.75469166,0.67706484,1.0983837,3980.47580189188
34,0.20759429999999998,34,6,77,8,212,7,55,9,0.7924057,0.6982183,0.84528595,0.55206484,1.2639707,3985.7202487098975
35,0.20409520000000006,22,9,84,5,251,5,123,8,0.7959048,0.70022273,0.5828865,0.8168295,1.1737763,4002.254387238063
36,0.19795850000000004,33,6,26,3,124,4,241,8,0.8020415,0.7150334,0.7116845,0.71836144,1.1192753,3935.277566253906
37,0.20959646,42,10,65,6,205,8,153,10,0.79040354,0.7035078,0.6753798,0.7314609,1.2728566,4010.223464268027
38,0.20600045,24,3,70,4,106,6,195,8,0.79399955,0.70929843,0.69827974,0.72024864,1.170122,3984.009488259908
39,0.19180200000000006,38,7,51,2,163,6,106,6,0.808198,0.72032297,0.7206211,0.7200267,1.0687587,3988.2598335701036
40,0.19237780000000004,48,9,38,7,223,3,47,9,0.8076222,0.7201559,0.7683199,0.6722913,1.068175,3993.721973052947
41,0.2064134,32,2,25,5,240,8,139,7,0.7935866,0.7032294,0.67605007,0.7302398,1.1579144,3987.843886830145
42,0.2048129,43,10,104,8,172,7,261,6,0.7951871,0.7028397,0.83042896,0.57604355,1.2616096,3998.8476057341322
43,0.19336766000000005,26,6,56,4,152,5,95,5,0.80663234,0.7164254,0.6776139,0.7549956,1.0692337,3987.30552572594
44,0.197036,59,7,38,6,132,2,171,8,0.802964,0.7139198,0.657395,0.77009326,1.0934132,3985.315940140048
45,0.208884,50,9,67,3,98,3,213,10,0.791116,0.69638085,0.6070152,0.78519094,1.1997154,3992.310242953012
46,0.19948893999999995,39,4,47,5,42,4,76,7,0.80051106,0.7153118,0.7117962,0.7188055,1.0777663,3994.700762901921
47,0.21236500000000005,30,8,34,3,242,8,369,9,0.787635,0.7039532,0.7483244,0.6598579,1.3245317,4002.789476607926
48,0.20009035,47,8,84,7,200,9,301,3,0.79990965,0.71169263,0.7731233,0.6506439,1.1612885,4007.5933799280324
49,0.19971955,58,3,57,2,182,5,133,6,0.80028045,0.7149221,0.71995085,0.7099245,1.0954964,3991.152030315017
50,0.19225866000000005,54,10,28,6,135,7,255,7,0.80774134,0.7183742,0.7485478,0.6883881,1.0752121,3997.6979589550765
