iteration,loss,layer1_filters,layer1_kernel,layer2_filters,layer2_kernel,layer3_filters,layer3_kernel,layer4_filters,layer4_kernel,auc_val,acc_val,acc_gamma_val,acc_proton_val,loss_val,run_time
1,0.1329846,62,8,34,3,59,4,227,9,0.8670154,0.7776502,0.807177,0.7500718,0.9047036,6728.826088262998
2,0.12441329999999995,48,9,120,6,90,4,450,3,0.8755867,0.7850524,0.8211898,0.7512997,0.8760195,6739.038861964
3,0.12837726000000005,21,3,80,10,237,4,150,6,0.87162274,0.7812162,0.78790593,0.77496797,0.8865152,2952.6833566650016
4,0.12963926999999995,26,9,72,6,148,6,32,4,0.87036073,0.7794062,0.77098423,0.7872724,0.8921412,2944.3019797919987
5,0.12997174,50,5,127,3,117,6,307,8,0.87002826,0.779906,0.74035746,0.81684476,0.9016315,2931.0399679250118
6,0.12543519999999994,19,2,74,10,90,8,296,8,0.8745648,0.78425545,0.7893044,0.7795397,0.878087,2909.6195271300094
7,0.13004249999999995,39,3,81,5,116,2,227,8,0.8699575,0.7799195,0.7883814,0.772016,0.8986274,2963.8391276140032
8,0.12824959999999996,54,7,38,8,161,4,94,8,0.8717504,0.77978444,0.7650267,0.79356825,0.8876845,2943.9006393829914
9,0.12992007000000005,21,5,41,8,160,9,484,5,0.87007993,0.7760833,0.7233519,0.825335,0.91277415,2913.9325603379984
10,0.1307026,38,5,39,9,25,5,409,7,0.8692974,0.7771639,0.83937013,0.7190627,0.8991614,2930.28330784
11,0.12397250000000005,61,3,100,9,141,5,271,3,0.8760275,0.7855792,0.80899507,0.76370853,0.8717576,2881.955086795002
12,0.13372170000000005,51,7,126,7,225,3,18,4,0.8662783,0.7688027,0.6892289,0.84312546,0.93517125,2981.852947028994
13,0.12257019999999995,56,6,67,4,234,4,258,10,0.8774298,0.7862546,0.7698934,0.8015361,0.8759302,2962.5834489160047
14,0.12822290000000006,41,4,47,10,53,7,455,9,0.8717771,0.7714097,0.68612427,0.8510672,0.92043346,2948.8188444059924
15,0.12335490000000005,62,9,116,3,27,9,339,4,0.8766451,0.78653824,0.7634045,0.80814546,0.87732685,2994.8897071150127
16,0.12112623,43,5,121,6,249,6,494,9,0.87887377,0.789618,0.79735965,0.7823872,0.8630765,3722.5814700980254
17,0.13139619999999996,18,9,126,10,59,6,30,4,0.8686038,0.77646154,0.7408329,0.809739,0.9054621,2939.870667293988
18,0.12138665000000005,42,2,46,8,244,9,225,6,0.87861335,0.7875919,0.82211286,0.75534886,0.86409074,2929.105281778989
19,0.12443380000000005,47,9,68,7,243,7,88,5,0.8755662,0.7830533,0.7673762,0.7976959,0.87729365,2935.26009927399
20,0.12318169999999995,61,5,87,9,233,5,459,5,0.8768183,0.7853091,0.81514835,0.7574388,0.8699101,2916.480498318007
21,0.12632010000000005,32,4,23,5,196,10,376,10,0.8736799,0.7811217,0.7425391,0.8171582,0.8979506,2928.295298097015
22,0.12372315,43,2,55,7,205,10,166,7,0.87627685,0.7845661,0.8347831,0.737663,0.8744683,2933.950976256019
23,0.1344221,33,6,17,5,256,8,174,2,0.8655779,0.7759077,0.80807203,0.7458659,0.9070779,2961.4513538019964
24,0.1236762,34,4,57,8,189,9,368,6,0.8763238,0.7853361,0.8296367,0.74395883,0.87742144,2909.2259264290037
25,0.12079436,44,7,103,7,179,7,206,7,0.87920564,0.78795654,0.845915,0.7338227,0.8665945,2880.013487959019
26,0.12266120000000005,28,7,104,4,176,7,129,9,0.8773388,0.78598446,0.80798817,0.7654327,0.871925,2914.8337283500005
27,0.11875729999999995,45,8,104,6,213,8,199,7,0.8812427,0.78991514,0.8322099,0.75041145,0.8592076,2951.3342732579913
28,0.1220854,55,10,99,7,218,8,197,7,0.8779146,0.7855522,0.84191537,0.73290837,0.86937153,3031.623532947997
29,0.12602739999999998,45,8,109,2,181,7,99,7,0.8739726,0.78420144,0.791542,0.7773453,0.88299257,2918.341690180998
30,0.12104959999999998,37,8,86,4,210,8,202,7,0.8789504,0.7887265,0.7844656,0.7927062,0.86763936,2891.1658432729887
31,0.12060899999999995,52,7,93,6,116,10,131,6,0.879391,0.78671384,0.84157974,0.7354685,0.8632575,2919.627427959989
32,0.12633160000000002,58,10,93,5,84,10,54,6,0.8736684,0.7788794,0.8576623,0.7052953,0.8973433,2942.0733856740117
33,0.12193940000000004,51,8,109,6,127,10,128,5,0.8780606,0.7873487,0.7783123,0.7957888,0.8688541,2912.128388158017
34,0.11957156999999995,53,8,115,6,101,9,148,6,0.88042843,0.7906581,0.8160154,0.76697403,0.8588733,2907.5900149540107
35,0.12880855999999996,48,8,116,2,93,9,68,3,0.87119144,0.7811892,0.82088214,0.7441156,0.89325327,2943.4971927629963
36,0.1228705,28,10,113,4,68,8,268,8,0.8771295,0.7869165,0.7753196,0.7977481,0.8712433,2933.288009477983
37,0.12439469999999996,58,6,93,5,100,9,308,2,0.8756053,0.78524154,0.80443597,0.76731366,0.8735049,2940.2941401219873
38,0.12054752999999994,64,9,121,3,156,8,240,5,0.87945247,0.7882132,0.77478814,0.80075234,0.866656,2894.174242476001
39,0.11984472999999995,53,9,79,6,134,8,162,8,0.88015527,0.7884293,0.7733337,0.8025288,0.8631814,2909.3193372059905
