iteration,loss,layer1_filters,layer1_kernel,layer2_filters,layer2_kernel,layer3_filters,layer3_kernel,layer4_filters,layer4_kernel,auc_val,acc_val,acc_gamma_val,acc_proton_val,loss_val,run_time
1,0.11793440000000001,62,8,34,3,59,4,227,9,0.8820656,0.792743,0.76721895,0.8166693,0.8588666,5438.743441622239
2,0.11545150000000005,48,9,120,6,90,4,450,3,0.8845485,0.7960173,0.83082074,0.76339257,0.84885603,5528.685764953028
3,0.11352514999999995,21,3,80,10,237,4,150,6,0.88647485,0.7976486,0.82821983,0.7689911,0.8401642,5458.299393798689
4,0.11782459999999995,26,9,72,6,148,6,32,4,0.8821754,0.7931392,0.7787304,0.80664605,0.8577924,5517.838492602111
5,0.11284079999999995,50,5,127,3,117,6,307,8,0.8871592,0.79846424,0.81673247,0.7813396,0.8455796,5486.7697953260495
6,0.11369799999999995,19,2,74,10,90,8,296,8,0.886302,0.796763,0.80979675,0.78454524,0.83930486,5518.288132467307
7,0.11628380000000005,39,3,81,5,116,2,227,8,0.8837162,0.7951667,0.81581736,0.77580875,0.8536814,5499.450541331898
8,0.11463606000000005,54,7,38,8,161,4,94,8,0.88536394,0.7937801,0.84148926,0.7490575,0.8456865,5495.510626015253
9,0.11418145999999996,21,5,41,8,160,9,484,5,0.88581854,0.7945375,0.76587033,0.82141,0.84903145,5504.671028607991
10,0.11725026000000005,38,5,39,9,25,5,409,7,0.88274974,0.7908787,0.84107983,0.74382013,0.85669667,5506.475090665277
11,0.11312354000000002,61,3,100,9,141,5,271,3,0.88687646,0.7969611,0.8425248,0.75424975,0.8414301,5530.128419056069
12,0.12002800000000002,51,7,126,7,225,3,18,4,0.879972,0.7878142,0.7395241,0.83308125,0.87807643,5536.46981800394
13,0.11193293000000004,56,6,67,4,234,4,258,10,0.88806707,0.7918342,0.8748435,0.71402127,0.85302824,5527.529633623082
14,0.11338156,41,4,47,10,53,7,455,9,0.88661844,0.79653,0.819213,0.77526695,0.83829004,5507.924062438309
15,0.11411696999999997,62,9,116,3,27,9,339,4,0.88588303,0.7976136,0.7813072,0.8128993,0.8451629,5510.230568528175
16,0.10864264,43,5,121,6,249,6,494,9,0.89135736,0.8006315,0.8503998,0.75397885,0.82321835,5573.015362375882
17,0.11926610000000006,18,9,126,10,59,6,30,4,0.8807339,0.7927081,0.7887005,0.7964648,0.862482,5504.932009747252
18,0.11340890000000005,42,2,46,8,244,9,225,6,0.8865911,0.7957726,0.8488344,0.7460325,0.8423856,5815.016556113957
19,0.11278829999999995,47,9,68,7,243,7,88,5,0.8872117,0.79251,0.87048453,0.7194167,0.85175955,5521.234809027985
20,0.10957753999999996,61,5,87,9,233,5,459,5,0.89042246,0.80119085,0.79960984,0.80267286,0.8269407,5516.234516174068
21,0.11316360000000004,33,6,102,5,198,7,381,2,0.8868364,0.7903893,0.8750361,0.7110414,0.8602906,5538.731309282128
22,0.11015039999999998,31,4,97,5,209,5,499,7,0.8898496,0.80001396,0.8400925,0.76244444,0.83335847,5533.1422767029135
23,0.11132156999999998,55,4,107,2,189,8,376,5,0.88867843,0.79999065,0.80880934,0.791724,0.83162737,5824.2952707209615
24,0.11215940000000002,32,7,89,7,255,2,506,10,0.8878406,0.7976136,0.7764425,0.8174594,0.84116876,5495.1043363823555
25,0.11594130000000002,46,5,22,9,181,3,416,7,0.8840587,0.7941646,0.8237405,0.76644015,0.8481416,5493.779812502675
26,0.11263250000000002,58,6,59,4,219,5,459,6,0.8873675,0.7968562,0.7693623,0.8226291,0.84353846,5479.063564964104
27,0.10948139999999996,44,4,112,7,255,7,351,9,0.8905186,0.8010044,0.8470282,0.75786173,0.8265001,5474.238912520929
28,0.10917836000000004,36,4,114,6,174,8,327,9,0.89082164,0.801319,0.829159,0.7752218,0.8256985,5465.39574679872
29,0.10861449999999996,36,8,93,4,178,10,183,10,0.8913855,0.7998392,0.86169446,0.7418561,0.82754797,5501.223399886861
30,0.11010810000000004,26,8,91,4,206,8,170,10,0.8898919,0.80075973,0.78696656,0.8136894,0.83150476,5477.680007759947
31,0.11307330000000004,27,10,108,2,123,10,171,9,0.8869267,0.79787,0.8115307,0.78506446,0.8385409,5514.218048116191
