iteration,loss,layer1_filters,layer1_kernel,layer2_filters,layer2_kernel,layer3_filters,layer3_kernel,auc_val,acc_val,acc_gamma_val,acc_proton_val,loss_val,run_time
1,0.11696189999999995,63,9,126,6,90,10,0.8830381,0.7986751,0.80420995,0.7931681,0.8633967,4602.025566990953
2,0.14387649999999996,39,9,20,6,103,8,0.8561235,0.76876175,0.84819376,0.6897293,0.990703,4582.176310430048
3,0.13939590000000002,53,6,47,3,88,10,0.8606041,0.77758676,0.83523303,0.72023046,0.9719012,4586.832929030992
4,0.1604202,42,7,26,2,211,9,0.8395798,0.75092834,0.84258664,0.6597311,1.0474807,4600.594281775877
5,0.12837120000000002,31,6,70,5,82,9,0.8716288,0.7850594,0.73196065,0.837891,0.9152272,4587.575861711055
6,0.14207729999999996,26,8,32,10,59,6,0.8579227,0.76422316,0.67538375,0.8526157,0.964194,4590.866476024035
7,0.16652816999999998,52,3,38,2,186,8,0.83347183,0.7523266,0.8150565,0.6899122,1.0651429,4571.440015592148
8,0.13540244,39,4,95,4,81,6,0.86459756,0.78428,0.7722677,0.7962319,0.93321633,4635.417566080112
9,0.12411839999999995,39,7,85,5,197,8,0.8758816,0.7935635,0.8105984,0.77661425,0.90324986,4599.707839526935
10,0.17371559999999994,59,3,76,2,63,7,0.8262844,0.7491633,0.71353066,0.78461677,1.0930688,4579.350106993923
11,0.1284282,21,7,108,7,65,6,0.8715718,0.78556365,0.7441401,0.8267788,0.90447664,4580.281502288999
12,0.13528729999999997,24,10,80,6,150,3,0.8647127,0.7822858,0.80627817,0.75841415,0.9299108,4654.673855594127
13,0.13473886000000002,64,8,47,4,169,4,0.86526114,0.7828359,0.7598584,0.8056978,0.93044263,4582.7288453311185
14,0.12853820000000005,23,8,86,5,136,6,0.8714618,0.7851052,0.83725524,0.7332175,0.91559964,4596.891835952876
15,0.14516980000000002,19,6,25,6,135,7,0.8548302,0.77231467,0.74993104,0.7945857,0.9602335,4590.568951092893
16,0.12451124000000002,24,5,108,7,244,5,0.87548876,0.7906753,0.76450044,0.8167185,0.89543575,4318.649960891809
17,0.1231272,46,6,107,9,101,5,0.8768728,0.79239446,0.7690045,0.81566674,0.8867521,3530.4842230489007
