loss,iteration,layer1_filters,layer2_filters,layer3_filters,layer4_filters,layer1_kernel,layer2_kernel,layer3_kernel,layer4_kernel,auc_val,acc_val,acc_gamma_val,acc_proton_val,loss_val,run_time
0.11631020000000003,1,25,56,185,488,5,10,4,3,0.8836898,0.795698,0.7932905,0.79805404,0.8517787,3142.241485050181
0.11213200000000001,2,59,49,163,53,5,5,7,7,0.887868,0.8005928,0.81278795,0.7886576,0.83684283,3158.273447845131
0.11269790000000002,3,27,119,129,472,3,6,4,10,0.8873021,0.80007637,0.8113807,0.789013,0.8367594,3141.6109827009495
0.11245269999999996,4,64,115,88,346,7,8,6,7,0.8875473,0.8001886,0.8139229,0.7867472,0.83529425,3110.253458312014
0.11306536,5,31,45,100,135,9,10,10,7,0.88693464,0.7992793,0.83135486,0.7678877,0.83726627,3130.1103086408693
0.11511433000000004,6,59,112,107,465,4,3,4,5,0.88488567,0.79796576,0.81837165,0.777995,0.84616923,3172.2071675728075
0.11712900000000004,7,37,110,85,66,7,5,5,4,0.882871,0.7942497,0.8346914,0.75467044,0.8580708,3192.05103799887
0.12376929999999997,8,34,58,195,446,8,9,2,2,0.8762307,0.7829221,0.86939645,0.6982918,0.9006979,3151.2505902890116
0.11660576,9,41,68,212,133,4,6,2,7,0.88339424,0.7957092,0.77697074,0.81404805,0.854979,3164.2848152869847
0.13603025999999996,10,19,20,46,96,6,4,5,2,0.86396974,0.77748835,0.7971265,0.7582691,0.9235724,3160.9574604020454
0.11969375999999998,11,55,118,206,199,3,6,3,2,0.88030624,0.79316074,0.788524,0.7976987,0.8635231,3164.361095158849
0.11055490000000001,12,25,110,144,384,9,9,10,7,0.8894451,0.7984934,0.78126067,0.81535864,0.837409,3179.208987180842
0.11406510000000003,13,20,56,168,466,2,8,9,3,0.8859349,0.7947774,0.7634201,0.8254659,0.8527161,3141.8333559969906
0.11983484,14,33,110,217,53,9,3,6,2,0.88016516,0.7936435,0.82170826,0.76617724,0.86723214,3132.0728912379127
0.11652594999999999,15,20,74,190,450,6,10,4,2,0.88347405,0.79750544,0.8123567,0.7829709,0.8511242,3131.7987812999636
0.11868376000000003,16,28,92,93,416,5,10,8,3,0.88131624,0.79444057,0.8199832,0.7694427,0.85975504,3106.258798594121
0.11365515000000004,17,47,60,217,279,2,8,8,4,0.88634485,0.7991782,0.8232063,0.77566254,0.8393385,3121.4589744110126
0.11487999999999998,18,21,79,255,64,8,10,5,9,0.88512,0.7968992,0.8156706,0.7785281,0.8424123,3132.015252731042
0.11340910000000004,19,50,39,141,461,7,2,9,10,0.8865909,0.79890877,0.83569014,0.7629118,0.8401442,3148.4378340721596
